Date,axis,hcl,hdfc,icici,indus,infy,kotak,sbi,techm,wipro,yes,tcs
2014-02-17,223.050003,751.200012,650.400024,183.481995,381.750000,914.536987,325.375000,147.360001,455.937988,280.500000,61.029999,2165.399902
2014-02-18,233.080002,743.325012,660.400024,188.690994,389.200012,920.500000,340.149994,150.095001,455.513000,278.524994,61.540001,2166
2014-02-19,233.229996,747.174988,670.049988,187.436005,392.899994,938.349976,342.950012,150.804993,460.712006,282.774994,61.389999,2197.949951
2014-02-20,231.570007,736.450012,662.750000,183.244995,384.500000,927.812012,334.875000,148.059998,458.062012,282.600006,60.380001,2189.350098
2014-02-21,238.669998,769.099976,664.400024,186.417999,392.049988,937.674988,336.024994,150.210007,462.049988,285.774994,61.240002,2205.699951
2014-02-24,247.639999,765.099976,671.000000,188.399994,399.100006,937.474976,338.799988,151.050003,457.862000,288.825012,60.779999,2177.899902
2014-02-25,247.350006,774.474976,671.099976,187.473007,402.649994,945.724976,337.875000,150.600006,459.899994,298.125000,60.450001,2188.899902
2014-02-26,247.850006,786.325012,677.400024,188.445007,395.799988,951.875000,342.700012,152.039993,455.237000,301.524994,60.500000,2182.149902
2014-02-28,253.410004,787.775024,669.599976,189.791000,397.500000,956.213013,342.250000,153.324997,466.812012,298.625000,60.990002,2275.75
2014-03-03,251.100006,752.325012,666.200012,187.235992,392.250000,949.562012,334.975006,151.835007,476.612000,292.950012,60.549999,2240.050049
2014-03-04,258.709991,740.700012,671.700012,194.382004,411.200012,949.888000,338.350006,155.035004,475.000000,294.100006,64.089996,2166.5
2014-03-06,265.899994,745.924988,675.599976,206.173004,420.850006,957.974976,343.674988,157.740005,480.799988,292.424988,69.160004,2128.600098
2014-03-07,281.359985,743.950012,711.450012,218.526993,444.100006,935.075012,355.774994,164.964996,459.000000,282.674988,75.180000,2417.899902
2014-03-11,283.500000,727.275024,725.150024,217.845001,473.600006,918.838013,372.100006,167.479996,445.437988,279.924988,74.250000,2590.350098
2014-03-12,279.579987,730.125000,725.549988,220.300003,469.700012,917.825012,372.424988,164.509995,450.687988,283.375000,72.949997,2635.350098
2014-03-13,276.230011,729.599976,742.349976,221.817993,469.200012,839.400024,382.174988,165.210007,445.138000,281.799988,72.269997,2149.550049
2014-03-14,270.980011,708.424988,732.150024,220.908997,468.149994,848.536987,377.975006,165.414993,446.312012,273.799988,71.169998,2139.550049
2014-03-18,269.820007,706.525024,734.000000,219.000000,482.850006,837.638000,382.649994,170.130005,448.587006,270.225006,72.739998,2122
2014-03-19,277.109985,701.799988,738.450012,219.990997,479.299988,817.937988,381.200012,170.884995,444.375000,272.549988,73.080002,2039.400024
2014-03-20,271.470001,703.674988,730.200012,218.317993,468.950012,825.763000,373.625000,167.794998,455.537994,276.174988,72.410004,2108.199951
2014-03-21,278.850006,713.150024,733.849976,218.100006,471.450012,826.411987,372.049988,170.214996,452.237000,284.100006,72.070000,2127
2014-03-22,null,null,null,null,null,null,null,null,null,null,null,null
2014-03-24,282.140015,707.174988,750.650024,225.854996,490.299988,818.950012,382.774994,172.559998,461.075012,281.399994,75.839996,2152.600098
2014-03-25,280.179993,698.849976,750.150024,227.735992,486.100006,813.599976,386.325012,174.339996,457.200012,274.250000,75.910004,2146.649902
2014-03-26,286.019989,698.549988,746.049988,228.455002,490.299988,812.224976,385.774994,176.750000,453.837006,272.774994,80.349998,2093.5
2014-03-27,285.989990,694.575012,746.750000,228.908997,491.649994,807.763000,385.950012,183.699997,458.362000,276.700012,78.809998,2094.25
2014-03-28,292.390015,702.900024,744.950012,228.945007,501.450012,815.650024,389.000000,190.195007,459.187988,276.024994,80.980003,2102.100098
2014-03-31,292.100006,695.349976,748.799988,226.373001,501.850006,820.700012,390.524994,191.770004,448.837006,271.600006,82.790001,2133.149902
